rule_id,layer,predicate,subject,object,provenance
R2,derived,damages,FR-INF-039,EN-T72-004,E01799|E01801
R2,derived,damages,FR-INF-040,EN-T72-005,E01807|E01809
R2,derived,damages,FR-INF-041,EN-T72-006,E01815|E01817
R2,derived,damages,FR-INF-042,EN-T72-007,E01823|E01825
R2,derived,damages,FR-INF-043,EN-T72-008,E01831|E01833
R2,derived,damages,FR-INF-044,EN-T72-009,E01839|E01841
R2,derived,damages,FR-INF-045,EN-T72-010,E01847|E01849
R2,derived,damages,FR-INF-046,EN-T72-011,E01855|E01857
R2,derived,damages,FR-INF-047,EN-T72-012,E01863|E01865
R2,derived,damages,FR-INF-048,EN-M1A2-001,E01871|E01873
R2,derived,damages,FR-INF-049,EN-M1A2-002,E01879|E01881
R2,derived,damages,FR-INF-050,EN-M1A2-003,E01887|E01889
R2,derived,damages,FR-INF-051,EN-M1A2-004,E01895|E01897
R2,derived,damages,FR-INF-052,EN-M1A2-005,E01903|E01905
R2,derived,damages,FR-INF-053,EN-BTR60-001,E01911|E01913
R1,derived,suppresses,EN-INF-036,FR-INF-001,E01919|E01921
R1,derived,suppresses,EN-INF-037,FR-INF-002,E01927|E01929
R1,derived,suppresses,EN-INF-038,FR-INF-003,E01935|E01937
R1,derived,suppresses,EN-INF-039,FR-INF-004,E01943|E01945
R1,derived,suppresses,EN-INF-040,FR-INF-005,E01951|E01953
R1,derived,suppresses,EN-INF-041,FR-INF-006,E01959|E01961
R1,derived,suppresses,EN-INF-042,FR-INF-007,E01967|E01969
R1,derived,suppresses,EN-INF-043,FR-INF-008,E01975|E01977
R1,derived,suppresses,EN-INF-044,FR-INF-009,E01983|E01985
R1,derived,suppresses,EN-INF-045,FR-INF-010,E01991|E01993
R1,derived,suppresses,EN-INF-046,FR-INF-011,E01999|E02001
R1,derived,suppresses,EN-INF-047,FR-INF-012,E02007|E02009
R1,derived,suppresses,EN-INF-048,FR-INF-013,E02015|E02017
R1,derived,suppresses,EN-INF-049,FR-INF-014,E02023|E02025
R1,derived,suppresses,EN-INF-050,FR-INF-015,E02031|E02033
R1,derived,suppresses,EN-INF-051,FR-INF-016,E02039|E02041
R2,derived,damages,EN-INF-052,FR-T69-001,E02047|E02049
R2,derived,damages,EN-INF-053,FR-T69-002,E02055|E02057
R2,derived,damages,EN-INF-054,FR-T69-003,E02063|E02065
R2,derived,damages,EN-INF-055,FR-T69-004,E02071|E02073
R2,derived,damages,EN-INF-056,FR-T69-005,E02079|E02081
R2,derived,damages,EN-INF-057,FR-T69-006,E02087|E02089
R2,derived,damages,EN-INF-058,FR-T69-007,E02095|E02097
R2,derived,damages,EN-INF-059,FR-T69-008,E02103|E02105
R3,derived,causes,E01494,E01495,E01494|E01495
R3,derived,causes,E01499,E01503,E01499|E01503
R3,derived,causes,E01507,E01511,E01507|E01511
R3,derived,causes,E01515,E01519,E01515|E01519
R3,derived,causes,E01523,E01527,E01523|E01527
R3,derived,causes,E01531,E01535,E01531|E01535
R3,derived,causes,E01539,E01543,E01539|E01543
R3,derived,causes,E01547,E01551,E01547|E01551
R3,derived,causes,E01555,E01559,E01555|E01559
R3,derived,causes,E01563,E01567,E01563|E01567
R3,derived,causes,E01571,E01575,E01571|E01575
R3,derived,causes,E01579,E01583,E01579|E01583
R3,derived,causes,E01587,E01591,E01587|E01591
R3,derived,causes,E01595,E01599,E01595|E01599
R3,derived,causes,E01603,E01607,E01603|E01607
R3,derived,causes,E01611,E01615,E01611|E01615
R3,derived,causes,E01619,E01623,E01619|E01623
R3,derived,causes,E01627,E01631,E01627|E01631
R3,derived,causes,E01635,E01639,E01635|E01639
R3,derived,causes,E01643,E01647,E01643|E01647
R3,derived,causes,E01651,E01655,E01651|E01655
R3,derived,causes,E01659,E01663,E01659|E01663
R3,derived,causes,E01667,E01671,E01667|E01671
R3,derived,causes,E01675,E01679,E01675|E01679
R3,derived,causes,E01683,E01687,E01683|E01687
R3,derived,causes,E01691,E01695,E01691|E01695
R3,derived,causes,E01699,E01703,E01699|E01703
R3,derived,causes,E01707,E01711,E01707|E01711
R3,derived,causes,E01715,E01719,E01715|E01719
R3,derived,causes,E01723,E01727,E01723|E01727
R3,derived,causes,E01731,E01735,E01731|E01735
R3,derived,causes,E01739,E01743,E01739|E01743
R3,derived,causes,E01747,E01751,E01747|E01751
R3,derived,causes,E01755,E01759,E01755|E01759
R3,derived,causes,E01763,E01767,E01763|E01767
R3,derived,causes,E01771,E01775,E01771|E01775
R3,derived,causes,E01779,E01783,E01779|E01783
R3,derived,causes,E01787,E01791,E01787|E01791
R3,derived,causes,E01795,E01799,E01795|E01799
R3,derived,causes,E01803,E01807,E01803|E01807
R3,derived,causes,E01811,E01815,E01811|E01815
R3,derived,causes,E01819,E01823,E01819|E01823
R3,derived,causes,E01827,E01831,E01827|E01831
R3,derived,causes,E01835,E01839,E01835|E01839
R3,derived,causes,E01843,E01847,E01843|E01847
R3,derived,causes,E01851,E01855,E01851|E01855
R3,derived,causes,E01859,E01863,E01859|E01863
R3,derived,causes,E01867,E01871,E01867|E01871
R3,derived,causes,E01875,E01879,E01875|E01879
R3,derived,causes,E01883,E01887,E01883|E01887
R3,derived,causes,E01891,E01895,E01891|E01895
R3,derived,causes,E01899,E01903,E01899|E01903
R3,derived,causes,E01907,E01911,E01907|E01911
R3,derived,causes,E01915,E01919,E01915|E01919
R3,derived,causes,E01923,E01927,E01923|E01927
R3,derived,causes,E01931,E01935,E01931|E01935
R3,derived,causes,E01939,E01943,E01939|E01943
R3,derived,causes,E01947,E01951,E01947|E01951
R3,derived,causes,E01955,E01959,E01955|E01959
R3,derived,causes,E01963,E01967,E01963|E01967
R3,derived,causes,E01971,E01975,E01971|E01975
R3,derived,causes,E01979,E01983,E01979|E01983
R3,derived,causes,E01987,E01991,E01987|E01991
R3,derived,causes,E01995,E01999,E01995|E01999
R3,derived,causes,E02003,E02007,E02003|E02007
R3,derived,causes,E02011,E02015,E02011|E02015
R3,derived,causes,E02019,E02023,E02019|E02023
R3,derived,causes,E02027,E02031,E02027|E02031
R3,derived,causes,E02035,E02039,E02035|E02039
R3,derived,causes,E02043,E02047,E02043|E02047
R3,derived,causes,E02051,E02055,E02051|E02055
R3,derived,causes,E02059,E02063,E02059|E02063
R3,derived,causes,E02067,E02071,E02067|E02071
R3,derived,causes,E02075,E02079,E02075|E02079
R3,derived,causes,E02083,E02087,E02083|E02087
R3,derived,causes,E02091,E02095,E02091|E02095
R3,derived,causes,E02099,E02103,E02099|E02103
R4,derived,firesUpon,FR-MORT-001,EN-FP-001,E01091|E01095|E01097
R4,derived,causes,E01091,E01097,E01091|E01095|E01097
R4,derived,firesUpon,FR-MORT-002,EN-FP-002,E01102|E01106|E01108
R4,derived,causes,E01102,E01108,E01102|E01106|E01108
R4,derived,firesUpon,FR-MORT-003,EN-RT-001,E01113|E01117|E01119
R4,derived,causes,E01113,E01119,E01113|E01117|E01119
R4,derived,firesUpon,FR-MORT-004,OBJ-009,E01124|E01128|E01130
R4,derived,causes,E01124,E01130,E01124|E01128|E01130
R4,derived,firesUpon,FR-M109-001,EN-FP-001,E01135|E01139|E01141
R4,derived,causes,E01135,E01141,E01135|E01139|E01141
R4,derived,firesUpon,FR-M109-002,EN-FP-002,E01146|E01150|E01152
R4,derived,causes,E01146,E01152,E01146|E01150|E01152
R4,derived,firesUpon,FR-M109-003,EN-RT-001,E01157|E01161|E01163
R4,derived,causes,E01157,E01163,E01157|E01161|E01163
R4,derived,firesUpon,FR-M109-004,OBJ-009,E01168|E01172|E01174
R4,derived,causes,E01168,E01174,E01168|E01172|E01174
R4,derived,firesUpon,FR-AHS-001,EN-FP-001,E01179|E01183|E01185
R4,derived,causes,E01179,E01185,E01179|E01183|E01185
R4,derived,firesUpon,FR-AHS-002,EN-FP-002,E01190|E01194|E01196
R4,derived,causes,E01190,E01196,E01190|E01194|E01196
R4,derived,firesUpon,FR-M901-001,EN-RT-001,E01201|E01205|E01207
R4,derived,causes,E01201,E01207,E01201|E01205|E01207
R4,derived,firesUpon,EN-MORT-001,OBJ-009,E01212|E01216|E01218
R4,derived,causes,E01212,E01218,E01212|E01216|E01218
R4,derived,firesUpon,EN-MORT-002,FR-LN-001,E01223|E01227|E01229
R4,derived,causes,E01223,E01229,E01223|E01227|E01229
R4,derived,firesUpon,EN-MORT-003,FR-FP-001,E01234|E01238|E01240
R4,derived,causes,E01234,E01240,E01234|E01238|E01240
R4,derived,firesUpon,EN-MORT-004,FR-FP-002,E01245|E01249|E01251
R4,derived,causes,E01245,E01251,E01245|E01249|E01251
R4,derived,firesUpon,EN-MORT-005,OBJ-009,E01256|E01260|E01262
R4,derived,causes,E01256,E01262,E01256|E01260|E01262
R4,derived,firesUpon,EN-CAESAR-001,FR-LN-001,E01267|E01271|E01273
R4,derived,causes,E01267,E01273,E01267|E01271|E01273
R4,derived,firesUpon,EN-CAESAR-002,FR-FP-001,E01278|E01282|E01284
R4,derived,causes,E01278,E01284,E01278|E01282|E01284
R4,derived,firesUpon,EN-CAESAR-003,FR-FP-002,E01289|E01293|E01295
R4,derived,causes,E01289,E01295,E01289|E01293|E01295
R4,derived,firesUpon,EN-CAESAR-004,OBJ-009,E01300|E01304|E01306
R4,derived,causes,E01300,E01306,E01300|E01304|E01306
R4,derived,firesUpon,EN-MIM-001,FR-LN-001,E01311|E01315|E01317
R4,derived,causes,E01311,E01317,E01311|E01315|E01317
R6,derived,unitSuppressed,UNIT-EN-INF-CO1-PL1,제압,E01495|E01497|E01503|E01505|E01511|E01513|E01519|E01521|E01527|E01529|E01535|E01537|E01543|E01545|E01551|E01553|E01559|E01561|E01567|E01569|E01575|E01577|E01583|E01585|E01591|E01593|E01599|E01601|E01607|E01609|E01615|E01617|E01623|E01625|E01631|E01633|E01639|E01641|E01647|E01649
R6,derived,unitSuppressed,UNIT-EN-INF-CO1-PL2,제압,E01655|E01657|E01663|E01665|E01671|E01673|E01679|E01681|E01687|E01689|E01695|E01697|E01703|E01705|E01711|E01713|E01719|E01721|E01727|E01729|E01735|E01737|E01743|E01745|E01751|E01753|E01759|E01761|E01767|E01769
R6,derived,unitSuppressed,UNIT-FR-INF-CO1-PL1,제압,E01919|E01921|E01927|E01929|E01935|E01937|E01943|E01945|E01951|E01953|E01959|E01961|E01967|E01969|E01975|E01977|E01983|E01985|E01991|E01993|E01999|E02001|E02007|E02009|E02015|E02017|E02023|E02025|E02031|E02033|E02039|E02041
R7,derived,precedes,E00001,E00002,E00001|E00002
R7,derived,precedes,E00002,E00923,E00002|E00923
R7,derived,precedes,E00923,E00924,E00923|E00924
R7,derived,precedes,E00924,E01494,E00924|E01494
R7,derived,precedes,E01494,E01919,E01494|E01919
R7,derived,precedes,E01919,E01920,E01919|E01920
R7,derived,precedes,E01920,E01921,E01920|E01921
R7,derived,precedes,E01921,E01922,E01921|E01922
R7,derived,precedes,E01922,E02609,E01922|E02609
R7,derived,precedes,E00003,E00004,E00003|E00004
R7,derived,precedes,E00004,E00925,E00004|E00925
R7,derived,precedes,E00925,E00926,E00925|E00926
R7,derived,precedes,E00926,E01499,E00926|E01499
R7,derived,precedes,E01499,E01500,E01499|E01500
R7,derived,precedes,E01500,E01502,E01500|E01502
R7,derived,precedes,E01502,E01927,E01502|E01927
R7,derived,precedes,E01927,E01928,E01927|E01928
R7,derived,precedes,E01928,E01929,E01928|E01929
R7,derived,precedes,E01929,E01930,E01929|E01930
R7,derived,precedes,E01930,E02611,E01930|E02611
R7,derived,precedes,E00005,E00006,E00005|E00006
R7,derived,precedes,E00006,E00927,E00006|E00927
R7,derived,precedes,E00927,E00928,E00927|E00928
R7,derived,precedes,E00928,E01507,E00928|E01507
R7,derived,precedes,E01507,E01508,E01507|E01508
R7,derived,precedes,E01508,E01510,E01508|E01510
R7,derived,precedes,E01510,E01935,E01510|E01935
R7,derived,precedes,E01935,E01936,E01935|E01936
R7,derived,precedes,E01936,E01937,E01936|E01937
R7,derived,precedes,E01937,E01938,E01937|E01938
R7,derived,precedes,E01938,E02613,E01938|E02613
R7,derived,precedes,E00007,E00008,E00007|E00008
R7,derived,precedes,E00008,E00929,E00008|E00929
R7,derived,precedes,E00929,E00930,E00929|E00930
R7,derived,precedes,E00930,E01515,E00930|E01515
R7,derived,precedes,E01515,E01516,E01515|E01516
R7,derived,precedes,E01516,E01518,E01516|E01518
R7,derived,precedes,E01518,E01943,E01518|E01943
R7,derived,precedes,E01943,E01944,E01943|E01944
R7,derived,precedes,E01944,E01945,E01944|E01945
R7,derived,precedes,E01945,E01946,E01945|E01946
R7,derived,precedes,E01946,E02615,E01946|E02615
R7,derived,precedes,E00009,E00010,E00009|E00010
R7,derived,precedes,E00010,E00931,E00010|E00931
R7,derived,precedes,E00931,E00932,E00931|E00932
R7,derived,precedes,E00932,E01523,E00932|E01523
R7,derived,precedes,E01523,E01524,E01523|E01524
R7,derived,precedes,E01524,E01526,E01524|E01526
R7,derived,precedes,E01526,E01951,E01526|E01951
R7,derived,precedes,E01951,E01952,E01951|E01952
R7,derived,precedes,E01952,E01953,E01952|E01953
R7,derived,precedes,E01953,E01954,E01953|E01954
R7,derived,precedes,E01954,E02617,E01954|E02617
R7,derived,precedes,E00011,E00012,E00011|E00012
R7,derived,precedes,E00012,E00933,E00012|E00933
R7,derived,precedes,E00933,E00934,E00933|E00934
R7,derived,precedes,E00934,E01531,E00934|E01531
R7,derived,precedes,E01531,E01532,E01531|E01532
R7,derived,precedes,E01532,E01534,E01532|E01534
R7,derived,precedes,E01534,E01959,E01534|E01959
R7,derived,precedes,E01959,E01960,E01959|E01960
R7,derived,precedes,E01960,E01961,E01960|E01961
R7,derived,precedes,E01961,E01962,E01961|E01962
R7,derived,precedes,E01962,E02619,E01962|E02619
R7,derived,precedes,E00013,E00014,E00013|E00014
R7,derived,precedes,E00014,E00935,E00014|E00935
R7,derived,precedes,E00935,E00936,E00935|E00936
R7,derived,precedes,E00936,E01539,E00936|E01539
R7,derived,precedes,E01539,E01540,E01539|E01540
R7,derived,precedes,E01540,E01542,E01540|E01542
R7,derived,precedes,E01542,E01967,E01542|E01967
R7,derived,precedes,E01967,E01968,E01967|E01968
R7,derived,precedes,E01968,E01969,E01968|E01969
R7,derived,precedes,E01969,E01970,E01969|E01970
R7,derived,precedes,E01970,E02621,E01970|E02621
R7,derived,precedes,E00015,E00016,E00015|E00016
R7,derived,precedes,E00016,E00937,E00016|E00937
R7,derived,precedes,E00937,E00938,E00937|E00938
R7,derived,precedes,E00938,E01547,E00938|E01547
R7,derived,precedes,E01547,E01548,E01547|E01548
R7,derived,precedes,E01548,E01550,E01548|E01550
R7,derived,precedes,E01550,E01975,E01550|E01975
R7,derived,precedes,E01975,E01976,E01975|E01976
R7,derived,precedes,E01976,E01977,E01976|E01977
R7,derived,precedes,E01977,E01978,E01977|E01978
R7,derived,precedes,E01978,E02623,E01978|E02623
R7,derived,precedes,E00017,E00018,E00017|E00018
R7,derived,precedes,E00018,E00939,E00018|E00939
R7,derived,precedes,E00939,E00940,E00939|E00940
R7,derived,precedes,E00940,E01555,E00940|E01555
R7,derived,precedes,E01555,E01556,E01555|E01556
R7,derived,precedes,E01556,E01558,E01556|E01558
R7,derived,precedes,E01558,E01983,E01558|E01983
R7,derived,precedes,E01983,E01984,E01983|E01984
R7,derived,precedes,E01984,E01985,E01984|E01985
R7,derived,precedes,E01985,E01986,E01985|E01986
R7,derived,precedes,E01986,E02625,E01986|E02625
R7,derived,precedes,E00019,E00020,E00019|E00020
R7,derived,precedes,E00020,E00941,E00020|E00941
R7,derived,precedes,E00941,E00942,E00941|E00942
R7,derived,precedes,E00942,E01563,E00942|E01563
R7,derived,precedes,E01563,E01564,E01563|E01564
R7,derived,precedes,E01564,E01566,E01564|E01566
R7,derived,precedes,E01566,E01991,E01566|E01991
R7,derived,precedes,E01991,E01992,E01991|E01992
R7,derived,precedes,E01992,E01993,E01992|E01993
R7,derived,precedes,E01993,E01994,E01993|E01994
R7,derived,precedes,E01994,E02627,E01994|E02627
R7,derived,precedes,E00021,E00022,E00021|E00022
R7,derived,precedes,E00022,E00943,E00022|E00943
R7,derived,precedes,E00943,E00944,E00943|E00944
R7,derived,precedes,E00944,E01571,E00944|E01571
R7,derived,precedes,E01571,E01572,E01571|E01572
R7,derived,precedes,E01572,E01574,E01572|E01574
R7,derived,precedes,E01574,E01999,E01574|E01999
R7,derived,precedes,E01999,E02000,E01999|E02000
R7,derived,precedes,E02000,E02001,E02000|E02001
R7,derived,precedes,E02001,E02002,E02001|E02002
R7,derived,precedes,E02002,E02629,E02002|E02629
R7,derived,precedes,E00023,E00024,E00023|E00024
R7,derived,precedes,E00024,E00945,E00024|E00945
R7,derived,precedes,E00945,E00946,E00945|E00946
R7,derived,precedes,E00946,E01579,E00946|E01579
R7,derived,precedes,E01579,E01580,E01579|E01580
R7,derived,precedes,E01580,E01582,E01580|E01582
R7,derived,precedes,E01582,E02007,E01582|E02007
R7,derived,precedes,E02007,E02008,E02007|E02008
R7,derived,precedes,E02008,E02009,E02008|E02009
R7,derived,precedes,E02009,E02010,E02009|E02010
R7,derived,precedes,E02010,E02631,E02010|E02631
R7,derived,precedes,E00025,E00026,E00025|E00026
R7,derived,precedes,E00026,E00947,E00026|E00947
R7,derived,precedes,E00947,E00948,E00947|E00948
R7,derived,precedes,E00948,E01587,E00948|E01587
R7,derived,precedes,E01587,E01588,E01587|E01588
R7,derived,precedes,E01588,E01590,E01588|E01590
R7,derived,precedes,E01590,E02015,E01590|E02015
R7,derived,precedes,E02015,E02016,E02015|E02016
R7,derived,precedes,E02016,E02017,E02016|E02017
R7,derived,precedes,E02017,E02018,E02017|E02018
R7,derived,precedes,E02018,E02633,E02018|E02633
R7,derived,precedes,E00027,E00028,E00027|E00028
R7,derived,precedes,E00028,E00949,E00028|E00949
R7,derived,precedes,E00949,E00950,E00949|E00950
R7,derived,precedes,E00950,E01595,E00950|E01595
R7,derived,precedes,E01595,E01596,E01595|E01596
R7,derived,precedes,E01596,E01598,E01596|E01598
R7,derived,precedes,E01598,E02023,E01598|E02023
R7,derived,precedes,E02023,E02024,E02023|E02024
R7,derived,precedes,E02024,E02025,E02024|E02025
R7,derived,precedes,E02025,E02026,E02025|E02026
R7,derived,precedes,E02026,E02635,E02026|E02635
R7,derived,precedes,E00029,E00030,E00029|E00030
R7,derived,precedes,E00030,E00951,E00030|E00951
R7,derived,precedes,E00951,E00952,E00951|E00952
R7,derived,precedes,E00952,E01603,E00952|E01603
R7,derived,precedes,E01603,E01604,E01603|E01604
R7,derived,precedes,E01604,E01606,E01604|E01606
R7,derived,precedes,E01606,E02031,E01606|E02031
R7,derived,precedes,E02031,E02032,E02031|E02032
R7,derived,precedes,E02032,E02033,E02032|E02033
R7,derived,precedes,E02033,E02034,E02033|E02034
R7,derived,precedes,E02034,E02637,E02034|E02637
R7,derived,precedes,E00031,E00032,E00031|E00032
R7,derived,precedes,E00032,E00953,E00032|E00953
R7,derived,precedes,E00953,E00954,E00953|E00954
R7,derived,precedes,E00954,E01611,E00954|E01611
R7,derived,precedes,E01611,E01612,E01611|E01612
R7,derived,precedes,E01612,E01614,E01612|E01614
R7,derived,precedes,E01614,E02039,E01614|E02039
R7,derived,precedes,E02039,E02040,E02039|E02040
R7,derived,precedes,E02040,E02041,E02040|E02041
R7,derived,precedes,E02041,E02042,E02041|E02042
R7,derived,precedes,E02042,E02639,E02042|E02639
R7,derived,precedes,E00033,E00034,E00033|E00034
R7,derived,precedes,E00034,E00955,E00034|E00955
R7,derived,precedes,E00955,E00956,E00955|E00956
R7,derived,precedes,E00956,E01619,E00956|E01619
R7,derived,precedes,E01619,E01620,E01619|E01620
R7,derived,precedes,E01620,E01622,E01620|E01622
R7,derived,precedes,E01622,E02107,E01622|E02107
R7,derived,precedes,E02107,E02108,E02107|E02108
R7,derived,precedes,E02108,E02797,E02108|E02797
R7,derived,precedes,E00035,E00036,E00035|E00036
R7,derived,precedes,E00036,E00957,E00036|E00957
R7,derived,precedes,E00957,E00958,E00957|E00958
R7,derived,precedes,E00958,E01627,E00958|E01627
R7,derived,precedes,E01627,E01628,E01627|E01628
R7,derived,precedes,E01628,E01630,E01628|E01630
R7,derived,precedes,E01630,E02109,E01630|E02109
R7,derived,precedes,E02109,E02110,E02109|E02110
R7,derived,precedes,E02110,E02799,E02110|E02799
R7,derived,precedes,E00037,E00038,E00037|E00038
R7,derived,precedes,E00038,E00959,E00038|E00959
R7,derived,precedes,E00959,E00960,E00959|E00960
R7,derived,precedes,E00960,E01635,E00960|E01635
R7,derived,precedes,E01635,E01636,E01635|E01636
R7,derived,precedes,E01636,E01638,E01636|E01638
R7,derived,precedes,E01638,E02111,E01638|E02111
R7,derived,precedes,E02111,E02112,E02111|E02112
R7,derived,precedes,E02112,E02801,E02112|E02801
R7,derived,precedes,E00039,E00040,E00039|E00040
R7,derived,precedes,E00040,E00961,E00040|E00961
R7,derived,precedes,E00961,E00962,E00961|E00962
R7,derived,precedes,E00962,E01643,E00962|E01643
R7,derived,precedes,E01643,E01644,E01643|E01644
R7,derived,precedes,E01644,E01646,E01644|E01646
R7,derived,precedes,E01646,E02113,E01646|E02113
R7,derived,precedes,E02113,E02114,E02113|E02114
R7,derived,precedes,E02114,E02803,E02114|E02803
R7,derived,precedes,E00041,E00042,E00041|E00042
R7,derived,precedes,E00042,E00963,E00042|E00963
R7,derived,precedes,E00963,E00964,E00963|E00964
R7,derived,precedes,E00964,E01651,E00964|E01651
R7,derived,precedes,E01651,E01652,E01651|E01652
R7,derived,precedes,E01652,E01654,E01652|E01654
R7,derived,precedes,E01654,E02115,E01654|E02115
R7,derived,precedes,E02115,E02116,E02115|E02116
R7,derived,precedes,E02116,E02805,E02116|E02805
R7,derived,precedes,E00043,E00044,E00043|E00044
R7,derived,precedes,E00044,E00965,E00044|E00965
R7,derived,precedes,E00965,E00966,E00965|E00966
R7,derived,precedes,E00966,E01659,E00966|E01659
R7,derived,precedes,E01659,E01660,E01659|E01660
R7,derived,precedes,E01660,E01662,E01660|E01662
R7,derived,precedes,E01662,E02117,E01662|E02117
R7,derived,precedes,E02117,E02118,E02117|E02118
R7,derived,precedes,E02118,E02807,E02118|E02807
R7,derived,precedes,E00045,E00046,E00045|E00046
R7,derived,precedes,E00046,E00967,E00046|E00967
R7,derived,precedes,E00967,E00968,E00967|E00968
R7,derived,precedes,E00968,E01667,E00968|E01667
R7,derived,precedes,E01667,E01668,E01667|E01668
R7,derived,precedes,E01668,E01670,E01668|E01670
R7,derived,precedes,E01670,E02119,E01670|E02119
R7,derived,precedes,E02119,E02120,E02119|E02120
R7,derived,precedes,E02120,E02809,E02120|E02809
R7,derived,precedes,E00047,E00048,E00047|E00048
R7,derived,precedes,E00048,E00969,E00048|E00969
R7,derived,precedes,E00969,E00970,E00969|E00970
R7,derived,precedes,E00970,E01675,E00970|E01675
R7,derived,precedes,E01675,E01676,E01675|E01676
R7,derived,precedes,E01676,E01678,E01676|E01678
R7,derived,precedes,E01678,E02121,E01678|E02121
R7,derived,precedes,E02121,E02122,E02121|E02122
R7,derived,precedes,E02122,E02811,E02122|E02811
R7,derived,precedes,E00049,E00050,E00049|E00050
R7,derived,precedes,E00050,E00971,E00050|E00971
R7,derived,precedes,E00971,E00972,E00971|E00972
R7,derived,precedes,E00972,E01683,E00972|E01683
R7,derived,precedes,E01683,E01684,E01683|E01684
R7,derived,precedes,E01684,E01686,E01684|E01686
R7,derived,precedes,E01686,E02123,E01686|E02123
R7,derived,precedes,E02123,E02124,E02123|E02124
R7,derived,precedes,E02124,E02813,E02124|E02813
R7,derived,precedes,E00051,E00052,E00051|E00052
R7,derived,precedes,E00052,E00973,E00052|E00973
R7,derived,precedes,E00973,E00974,E00973|E00974
R7,derived,precedes,E00974,E01691,E00974|E01691
R7,derived,precedes,E01691,E01692,E01691|E01692
R7,derived,precedes,E01692,E01694,E01692|E01694
R7,derived,precedes,E01694,E02125,E01694|E02125
R7,derived,precedes,E02125,E02126,E02125|E02126
R7,derived,precedes,E02126,E02815,E02126|E02815
R7,derived,precedes,E00053,E00054,E00053|E00054
R7,derived,precedes,E00054,E00975,E00054|E00975
R7,derived,precedes,E00975,E00976,E00975|E00976
R7,derived,precedes,E00976,E01699,E00976|E01699
R7,derived,precedes,E01699,E01700,E01699|E01700
R7,derived,precedes,E01700,E01702,E01700|E01702
R7,derived,precedes,E01702,E02127,E01702|E02127
R7,derived,precedes,E02127,E02128,E02127|E02128
R7,derived,precedes,E02128,E02817,E02128|E02817
R7,derived,precedes,E00055,E00056,E00055|E00056
R7,derived,precedes,E00056,E00977,E00056|E00977
R7,derived,precedes,E00977,E00978,E00977|E00978
R7,derived,precedes,E00978,E01707,E00978|E01707
R7,derived,precedes,E01707,E01708,E01707|E01708
R7,derived,precedes,E01708,E01710,E01708|E01710
R7,derived,precedes,E01710,E02129,E01710|E02129
R7,derived,precedes,E02129,E02130,E02129|E02130
R7,derived,precedes,E02130,E02819,E02130|E02819
R7,derived,precedes,E00057,E00058,E00057|E00058
R7,derived,precedes,E00058,E00979,E00058|E00979
