객체_타입_그룹,행동,Plan_요소,task_type_or_request_type,PLN_문법,교체할_파라미터,비고
포병 - 155mm 자주포,Entity 대상 간접사격,Task,ffe-on-entity,"(Task (task-type ""ffe-on-entity"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:M107-155mm"")) (number-of-rounds 1) (height-above-terrain 0.0) (entity ""VRF_UUID:ENTITY_UUID""))",ENTITY 값; weapon-name; number-of-rounds; height-above-terrain,
포병 - 155mm 자주포,Entity 대상 간접사격 - 조명탄,Task,ffe-on-entity,"(Task (task-type ""ffe-on-entity"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:M485-Illumination"")) (number-of-rounds 1) (height-above-terrain 0.0) (entity ""VRF_UUID:ENTITY_UUID""))",ENTITY 값; number-of-rounds; height-above-terrain,
포병 - 155mm 자주포,좌표 대상 간접사격,Task,ffe-on-location,"(Task (task-type ""ffe-on-location"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:M107-155mm"")) (number-of-rounds 1) (height-above-terrain 0.0) (location X Y Z))",LOCATION 값; weapon-name; number-of-rounds; height-above-terrain,
포병 - 155mm 자주포,좌표 대상 간접사격 - 조명탄,Task,ffe-on-location,"(Task (task-type ""ffe-on-location"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:M485-Illumination"")) (number-of-rounds 1) (height-above-terrain 0.0) (location X Y Z))",LOCATION 값; number-of-rounds; height-above-terrain,
포병 - 155mm 자주포,Control Point/Target 대상 간접사격,Task,ffe-on-target,"(Task (task-type ""ffe-on-target"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:M107-155mm"")) (number-of-rounds 1) (height-above-terrain 0.0) (target ""VRF_UUID:TARGET_UUID""))",TARGET 값; weapon-name; number-of-rounds; height-above-terrain,
포병 - 155mm 자주포,Control Point/Target 대상 간접사격 - 조명탄,Task,ffe-on-target,"(Task (task-type ""ffe-on-target"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:M485-Illumination"")) (number-of-rounds 1) (height-above-terrain 0.0) (target ""VRF_UUID:TARGET_UUID""))",TARGET 값; number-of-rounds; height-above-terrain,
포병 - 박격포(m9333he 계열),Entity 대상 간접사격,Task,ffe-on-entity,"(Task (task-type ""ffe-on-entity"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:m9333he"")) (number-of-rounds 1) (height-above-terrain 0.0) (entity ""VRF_UUID:ENTITY_UUID""))",ENTITY 값; number-of-rounds; height-above-terrain,
포병 - 박격포(m9333he 계열),좌표 대상 간접사격,Task,ffe-on-location,"(Task (task-type ""ffe-on-location"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:m9333he"")) (number-of-rounds 1) (height-above-terrain 0.0) (location X Y Z))",LOCATION 값; number-of-rounds; height-above-terrain,
포병 - 박격포(m9333he 계열),Control Point/Target 대상 간접사격,Task,ffe-on-target,"(Task (task-type ""ffe-on-target"") (subtask False) (allow-task-visualizations True) (weapons-to-fire (weapon-name ""Indirect-Fire-Gun:m9333he"")) (number-of-rounds 1) (height-above-terrain 0.0) (target ""VRF_UUID:TARGET_UUID""))",TARGET 값; number-of-rounds; height-above-terrain,
공통 - 조건 분기,탐지 수준에 따른 분기,If / Condition,CheckEntityDetectionLevel,"(If (Condition (AND (conditions (CheckEntityDetectionLevel (Entity ""VRF_UUID:ENTITY_UUID"") (Level 3) (Modifier "",,,LOOKATALL,""))))) (Then-Block TASK_OR_SET...) (Else-Block TASK_OR_SET...))",ENTITY_UUID; Level; Modifier; Then-Block; Else-Block,Task가 아니라 Plan 제어문
