slot_id,origin,scheduled_time_s,shooter_id,target_id,target_ref,firing_ref,distance_m,target_task_count,status,reason
SRC-E01563,source,209,FR-INF-010,EN-INF-010,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01571,source,210,FR-INF-011,EN-INF-011,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01579,source,211,FR-INF-012,EN-INF-012,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01587,source,212,FR-INF-013,EN-INF-013,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01595,source,213,FR-INF-014,EN-INF-014,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01603,source,214,FR-INF-015,EN-INF-015,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01611,source,215,FR-INF-016,EN-INF-016,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01619,source,216,FR-INF-017,EN-INF-017,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01627,source,217,FR-INF-018,EN-INF-018,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01635,source,218,FR-INF-019,EN-INF-019,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01643,source,219,FR-INF-020,EN-INF-020,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01651,source,220,FR-INF-021,EN-INF-021,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01659,source,221,FR-INF-022,EN-INF-022,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01667,source,222,FR-INF-023,EN-INF-023,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01675,source,223,FR-INF-024,EN-INF-024,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01683,source,224,FR-INF-025,EN-INF-025,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01691,source,225,FR-INF-026,EN-INF-026,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01699,source,226,FR-INF-027,EN-INF-027,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01707,source,227,FR-INF-028,EN-INF-028,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01715,source,228,FR-INF-029,EN-INF-029,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01723,source,229,FR-INF-030,EN-INF-030,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01731,source,230,FR-INF-031,EN-INF-031,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01739,source,231,FR-INF-032,EN-INF-032,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01747,source,232,FR-INF-033,EN-INF-033,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01755,source,233,FR-INF-034,EN-INF-034,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01763,source,234,FR-INF-035,EN-INF-035,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01771,source,235,FR-INF-036,EN-T72-001,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01779,source,236,FR-INF-037,EN-T72-002,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01787,source,237,FR-INF-038,EN-T72-003,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01795,source,238,FR-INF-039,EN-T72-004,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01803,source,239,FR-INF-040,EN-T72-005,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01811,source,240,FR-INF-041,EN-T72-006,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01819,source,241,FR-INF-042,EN-T72-007,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01827,source,242,FR-INF-043,EN-T72-008,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01835,source,243,FR-INF-044,EN-T72-009,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01843,source,244,FR-INF-045,EN-T72-010,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01851,source,245,FR-INF-046,EN-T72-011,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01859,source,246,FR-INF-047,EN-T72-012,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01867,source,247,FR-INF-048,EN-M1A2-001,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01875,source,248,FR-INF-049,EN-M1A2-002,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01883,source,249,FR-INF-050,EN-M1A2-003,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01891,source,250,FR-INF-051,EN-M1A2-004,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01899,source,251,FR-INF-052,EN-M1A2-005,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01907,source,252,FR-INF-053,EN-BTR60-001,LOC_중앙킬존,,359.8,0,accepted,
SRC-E01915,source,270,EN-INF-036,FR-INF-001,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01923,source,271,EN-INF-037,FR-INF-002,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01931,source,272,EN-INF-038,FR-INF-003,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01939,source,273,EN-INF-039,FR-INF-004,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01947,source,274,EN-INF-040,FR-INF-005,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01955,source,275,EN-INF-041,FR-INF-006,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01963,source,276,EN-INF-042,FR-INF-007,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01971,source,277,EN-INF-043,FR-INF-008,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01979,source,278,EN-INF-044,FR-INF-009,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01987,source,279,EN-INF-045,FR-INF-010,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E01995,source,280,EN-INF-046,FR-INF-011,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02003,source,281,EN-INF-047,FR-INF-012,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02011,source,282,EN-INF-048,FR-INF-013,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02019,source,283,EN-INF-049,FR-INF-014,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02027,source,284,EN-INF-050,FR-INF-015,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02035,source,285,EN-INF-051,FR-INF-016,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02043,source,286,EN-INF-052,FR-T69-001,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02051,source,287,EN-INF-053,FR-T69-002,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02059,source,288,EN-INF-054,FR-T69-003,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02067,source,289,EN-INF-055,FR-T69-004,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02075,source,290,EN-INF-056,FR-T69-005,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02083,source,291,EN-INF-057,FR-T69-006,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02091,source,292,EN-INF-058,FR-T69-007,LOC_남측제1방어선전방,,349.1,0,accepted,
SRC-E02099,source,293,EN-INF-059,FR-T69-008,LOC_남측제1방어선전방,,349.1,0,accepted,
,enrichment,,FR-INF-057,EN-INF-067,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-068,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-069,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-070,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-071,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-072,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-073,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-057,EN-INF-074,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-067,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-068,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-069,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-070,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-071,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-072,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-073,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-058,EN-INF-074,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-067,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-068,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-069,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-070,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-071,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-072,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-073,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-059,EN-INF-074,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-067,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-068,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-069,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-070,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-071,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-072,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-073,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-060,EN-INF-074,,,,,rejected,no_verified_firing_location
,enrichment,,FR-INF-001,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-002,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-003,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-004,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-005,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-006,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-007,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-008,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-009,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-010,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-011,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-012,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-013,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-014,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-015,,,,,,rejected,shooter_no_task
,enrichment,,FR-INF-016,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-001,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-002,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-003,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-004,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-005,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-006,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-007,,,,,,rejected,shooter_no_task
,enrichment,,FR-T69-008,,,,,,rejected,shooter_no_task
,enrichment,,FR-AHS-001,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-AHS-002,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-M109-001,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-M109-002,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-M109-003,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-M901-001,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-MORT-001,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-MORT-002,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-MORT-003,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-001,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-002,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-003,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-004,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-005,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-006,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-007,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,FR-SNP-008,,,,,,rejected,shooter_unbounded_predecessor
,enrichment,,,EN-FP-001,,,,,rejected,target_not_taskable
,enrichment,,,EN-FP-002,,,,,rejected,target_not_taskable
,enrichment,,,EN-RT-001,,,,,rejected,target_not_taskable
,enrichment,,,FR-FP-001,,,,,rejected,target_not_taskable
,enrichment,,,FR-FP-002,,,,,rejected,target_not_taskable
,enrichment,,,FR-LN-001,,,,,rejected,target_not_taskable
,enrichment,,,OBJ-009,,,,,rejected,target_not_taskable
