object_id,name,faction,entity_class,type_group,marking,seq,time,time_s,event_id,template,task_kind,action_label,task_type,script_id,ref_id,ref_kind,in_scnx,note
EN-BTR80-002,화력지원 장갑차 2,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80002,2,05:49,349,E01044,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-BTR80-003,화력지원 장갑차 3,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80003,1,02:52,172,E00663,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-BTR80-003,화력지원 장갑차 3,RED,BTR-80 APC,차량/장갑차 - M2HB 계열,ENBTR80003,2,05:50,350,E01046,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-CAESAR-001,자주포 1,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR001,1,02:16,136,E00593,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,FR-LN-001,COORD,Y,
EN-CAESAR-001,자주포 1,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR001,2,05:51,351,E01066,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-CAESAR-002,자주포 2,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR002,1,02:17,137,E00604,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,FR-FP-001,COORD,Y,
EN-CAESAR-002,자주포 2,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR002,2,05:51,351,E01068,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-CAESAR-003,자주포 3,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR003,1,02:18,138,E00615,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,FR-FP-002,COORD,Y,
EN-CAESAR-003,자주포 3,RED,CAESAR SP Howitzer,포병 - 155mm 자주포,ENCAESAR003,2,05:51,351,E01070,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-GAZ-001,탄약 보급차 1,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ001,1,02:57,177,E00665,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-GAZ-001,탄약 보급차 1,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ001,2,05:50,350,E01048,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-GAZ-001,탄약 보급차 1,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ001,3,06:34,394,E01214,moveTo,set_speed,속도 지정,set-speed,,,,Y,
EN-GAZ-001,탄약 보급차 1,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ001,4,06:34,394,E01214,moveTo,move_slow,좌표로 이동,move-to-location-task,,LOC_적전방방어선후방,COORD,Y,
EN-GAZ-002,탄약 보급차 2,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ002,1,02:58,178,E00667,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-GAZ-002,탄약 보급차 2,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ002,2,05:50,350,E01050,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-GAZ-002,탄약 보급차 2,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ002,3,06:35,395,E01216,moveTo,set_speed,속도 지정,set-speed,,,,Y,
EN-GAZ-002,탄약 보급차 2,RED,GAZ-66 Truck,차량/장갑차 - M2HB 계열,ENGAZ002,4,06:35,395,E01216,moveTo,move_slow,좌표로 이동,move-to-location-task,,LOC_적전방방어선후방,COORD,Y,
EN-INF-001,제1제대 보병 1,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF001,1,01:00,60,E00305,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-INF-001,제1제대 보병 1,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF001,2,03:21,201,E00722,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-001,ENTITY,Y,
EN-INF-002,제1제대 보병 2,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF002,1,01:00,60,E00307,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-002,제1제대 보병 2,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF002,2,03:22,202,E00730,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-002,ENTITY,Y,
EN-INF-003,제1제대 보병 3,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF003,1,01:00,60,E00309,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-003,제1제대 보병 3,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF003,2,03:23,203,E00738,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-003,ENTITY,Y,
EN-INF-004,제1제대 보병 4,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF004,1,01:00,60,E00311,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-004,제1제대 보병 4,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF004,2,03:24,204,E00746,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-004,ENTITY,Y,
EN-INF-005,제1제대 보병 5,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF005,1,01:00,60,E00313,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-005,제1제대 보병 5,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF005,2,03:25,205,E00754,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-005,ENTITY,Y,
EN-INF-006,제1제대 보병 6,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF006,1,01:00,60,E00315,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-006,제1제대 보병 6,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF006,2,03:26,206,E00762,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-006,ENTITY,Y,
EN-INF-007,제1제대 보병 7,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF007,1,01:00,60,E00317,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-007,제1제대 보병 7,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF007,2,03:27,207,E00770,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-007,ENTITY,Y,
EN-INF-008,제1제대 보병 8,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF008,1,01:00,60,E00319,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-008,제1제대 보병 8,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF008,2,03:28,208,E00778,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-008,ENTITY,Y,
EN-INF-009,제1제대 보병 9,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF009,1,01:01,61,E00321,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-009,제1제대 보병 9,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF009,2,03:29,209,E00786,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-009,ENTITY,Y,
EN-INF-010,제1제대 보병 10,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF010,1,01:01,61,E00323,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-010,제1제대 보병 10,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF010,2,03:30,210,E00794,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-010,ENTITY,Y,
EN-INF-011,제1제대 보병 11,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF011,1,01:01,61,E00325,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-011,제1제대 보병 11,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF011,2,03:31,211,E00802,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-011,ENTITY,Y,
EN-INF-012,제1제대 보병 12,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF012,1,01:01,61,E00327,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-012,제1제대 보병 12,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF012,2,03:32,212,E00810,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-012,ENTITY,Y,
EN-INF-013,제1제대 보병 13,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF013,1,01:01,61,E00329,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-013,제1제대 보병 13,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF013,2,03:33,213,E00818,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-013,ENTITY,Y,
EN-INF-014,제1제대 보병 14,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF014,1,01:01,61,E00331,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-014,제1제대 보병 14,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF014,2,03:34,214,E00826,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-014,ENTITY,Y,
EN-INF-015,제1제대 보병 15,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF015,1,01:01,61,E00333,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-015,제1제대 보병 15,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF015,2,03:35,215,E00834,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-015,ENTITY,Y,
EN-INF-016,제1제대 보병 16,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF016,1,01:01,61,E00335,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-016,제1제대 보병 16,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF016,2,03:36,216,E00842,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-016,ENTITY,Y,
EN-INF-017,제1제대 보병 17,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF017,1,01:02,62,E00337,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-017,제1제대 보병 17,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF017,2,03:37,217,E00850,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-017,ENTITY,Y,
EN-INF-018,제1제대 보병 18,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF018,1,01:02,62,E00339,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-018,제1제대 보병 18,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF018,2,03:38,218,E00858,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-018,ENTITY,Y,
EN-INF-019,제1제대 보병 19,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF019,1,01:02,62,E00341,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-019,제1제대 보병 19,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF019,2,03:39,219,E00866,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-019,ENTITY,Y,
EN-INF-020,제1제대 보병 20,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF020,1,01:02,62,E00343,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-020,제1제대 보병 20,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF020,2,03:40,220,E00874,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-020,ENTITY,Y,
EN-INF-021,제1제대 보병 21,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF021,1,01:02,62,E00345,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-021,제1제대 보병 21,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF021,2,03:41,221,E00882,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-021,ENTITY,Y,
EN-INF-022,제1제대 보병 22,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF022,1,01:02,62,E00347,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-022,제1제대 보병 22,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF022,2,03:42,222,E00890,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-022,ENTITY,Y,
EN-INF-023,제1제대 보병 23,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF023,1,01:02,62,E00349,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-023,제1제대 보병 23,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF023,2,03:43,223,E00898,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-023,ENTITY,Y,
EN-INF-024,제1제대 보병 24,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF024,1,01:02,62,E00351,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-024,제1제대 보병 24,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF024,2,03:44,224,E00906,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-024,ENTITY,Y,
EN-INF-025,제1제대 보병 25,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF025,1,01:03,63,E00353,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-025,제1제대 보병 25,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF025,2,03:45,225,E00914,hitBy,take_cover,피격 후 엄폐,find_cover,find_cover,FR-INF-025,ENTITY,Y,
EN-INF-026,제1제대 보병 26,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF026,1,01:03,63,E00355,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-027,제1제대 보병 27,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF027,1,01:03,63,E00357,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-028,제1제대 보병 28,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF028,1,01:03,63,E00359,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-029,제1제대 보병 29,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF029,1,01:03,63,E00361,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-030,제1제대 보병 30,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF030,1,01:03,63,E00363,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-031,제1제대 보병 31,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF031,1,01:03,63,E00365,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-032,제1제대 보병 32,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF032,1,01:03,63,E00367,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-033,제1제대 보병 33,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF033,1,01:04,64,E00369,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-034,제1제대 보병 34,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF034,1,01:04,64,E00371,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-INF-035,제1제대 보병 35,RED,Russian Soldier AK47,보병 - 소총(M4 계열),ENINF035,1,01:04,64,E00373,moveTo,follow,대형 추종 이동,follow-entity,,EN-INF-001,ENTITY,Y,
EN-M1A2-001,예비 전차 1,RED,M1A2 Abrams MBT,차량/장갑차 - M2HB 계열,ENM1A2001,1,02:37,157,E00645,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-M1A2-002,예비 전차 2,RED,M1A2 Abrams MBT,차량/장갑차 - M2HB 계열,ENM1A2002,1,02:38,158,E00647,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-M1A2-003,예비 전차 3,RED,M1A2 Abrams MBT,차량/장갑차 - M2HB 계열,ENM1A2003,1,02:39,159,E00649,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-M35-001,병력 수송 트럭 1,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35001,1,03:01,181,E00669,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-M35-001,병력 수송 트럭 1,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35001,2,05:50,350,E01052,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-M35-001,병력 수송 트럭 1,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35001,3,06:38,398,E01218,moveTo,set_speed,속도 지정,set-speed,,,,Y,
EN-M35-001,병력 수송 트럭 1,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35001,4,06:38,398,E01218,moveTo,move_slow,좌표로 이동,move-to-location-task,,LOC_적전방방어선후방,COORD,Y,
EN-M35-002,병력 수송 트럭 2,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35002,1,03:02,182,E00671,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-M35-002,병력 수송 트럭 2,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35002,2,05:50,350,E01054,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-M35-002,병력 수송 트럭 2,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35002,3,06:39,399,E01220,moveTo,set_speed,속도 지정,set-speed,,,,Y,
EN-M35-002,병력 수송 트럭 2,RED,M35 Truck,차량/장갑차 - M2HB 계열,ENM35002,4,06:39,399,E01220,moveTo,move_slow,좌표로 이동,move-to-location-task,,LOC_적전방방어선후방,COORD,Y,
EN-MIM-001,로켓화력 대체 객체 1,RED,MIM-104 Patriot Launcher,미사일 발사대 - Patriot,ENMIM001,1,02:20,140,E00626,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,FR-LN-001,COORD,Y,
EN-MIM-001,로켓화력 대체 객체 1,RED,MIM-104 Patriot Launcher,미사일 발사대 - Patriot,ENMIM001,2,05:52,352,E01072,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-MORT-001,박격포 1,RED,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),ENMORT001,1,02:11,131,E00560,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,OBJ-009,COORD,Y,
EN-MORT-001,박격포 1,RED,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),ENMORT001,2,05:51,351,E01060,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-MORT-002,박격포 2,RED,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),ENMORT002,1,02:12,132,E00571,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,FR-LN-001,COORD,Y,
EN-MORT-002,박격포 2,RED,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),ENMORT002,2,05:51,351,E01062,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-MORT-003,박격포 3,RED,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),ENMORT003,1,02:13,133,E00582,indirectFireAt,fire_indirect,좌표 대상 간접사격,ffe-on-location,,FR-FP-001,COORD,Y,
EN-MORT-003,박격포 3,RED,MO-120RT-61 Mortar,포병 - 박격포(m9333he 계열),ENMORT003,2,05:51,351,E01064,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-SA7-001,휴대 대공화기조 1,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7001,1,01:12,72,E00375,moveTo,move,좌표로 이동,move-to-location-task,,LOC_동측측방접근로,COORD,Y,
EN-SA7-001,휴대 대공화기조 1,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7001,2,05:45,345,E01018,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-SA7-002,휴대 대공화기조 2,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7002,1,01:12,72,E00377,moveTo,follow,대형 추종 이동,follow-entity,,EN-SA7-001,ENTITY,Y,
EN-SA7-002,휴대 대공화기조 2,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7002,2,05:45,345,E01020,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-SA7-003,휴대 대공화기조 3,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7003,1,01:12,72,E00379,moveTo,follow,대형 추종 이동,follow-entity,,EN-SA7-001,ENTITY,Y,
EN-SA7-003,휴대 대공화기조 3,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7003,2,05:45,345,E01022,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-SA7-004,휴대 대공화기조 4,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7004,1,01:12,72,E00381,moveTo,follow,대형 추종 이동,follow-entity,,EN-SA7-001,ENTITY,Y,
EN-SA7-004,휴대 대공화기조 4,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7004,2,05:45,345,E01024,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-SA7-005,휴대 대공화기조 5,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7005,1,01:13,73,E00383,moveTo,follow,대형 추종 이동,follow-entity,,EN-SA7-001,ENTITY,Y,
EN-SA7-005,휴대 대공화기조 5,RED,Russian Soldier SA7,보병 - RPG 계열,ENSA7005,2,05:46,346,E01026,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-SNP-001,정찰·저격조 1,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP001,1,00:38,38,E00297,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-SNP-001,정찰·저격조 1,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP001,2,05:46,346,E01028,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-SNP-002,정찰·저격조 2,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP002,1,00:39,39,E00299,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-SNP-002,정찰·저격조 2,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP002,2,05:47,347,E01030,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-SNP-003,정찰·저격조 3,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP003,1,00:40,40,E00301,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-SNP-003,정찰·저격조 3,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP003,2,05:47,347,E01032,moveTo,move,좌표로 이동,move-to-location-task,,LOC_적북측접근로,COORD,Y,
EN-SNP-004,정찰·저격조 4,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP004,1,00:41,41,E00303,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
EN-SNP-004,정찰·저격조 4,RED,Russian Soldier Sniper-127,보병 - 소총(M4 계열),ENSNP004,2,05:47,347,E01034,moveTo,move,좌표로 이동,move-to-location-task,,LOC_북측예비방어선,COORD,Y,
EN-T72-001,전방 전차 1,RED,T-72 MBT,차량/장갑차 - M2HB 계열,ENT72001,1,02:25,145,E00633,moveTo,move,좌표로 이동,move-to-location-task,,LOC_중앙계곡,COORD,Y,
